Portugal,Hotels zonder ster,16
Portugal,Hotels met 1 ster,3
Portugal,Hotels met 2 sterren,10
Portugal,Hotels met 3 sterren,31
Portugal,Hotels met 4 sterren,44
Portugal,Hotels met 5 sterren,6
Spanje,Hotels zonder ster,104
Spanje,Hotels met 1 ster,21
Spanje,Hotels met 2 sterren,54
Spanje,Hotels met 3 sterren,210
Spanje,Hotels met 4 sterren,347
Spanje,Hotels met 5 sterren,60
Belgie,Hotels zonder ster,143
Belgie,Hotels met 1 ster,15
Belgie,Hotels met 2 sterren,52
Belgie,Hotels met 3 sterren,370
Belgie,Hotels met 4 sterren,875
Belgie,Hotels met 5 sterren,37
Italie,Hotels zonder ster,143
Italie,Hotels met 1 ster,33
Italie,Hotels met 2 sterren,86
Italie,Hotels met 3 sterren,255
Italie,Hotels met 4 sterren,307
Italie,Hotels met 5 sterren,41
Polen,Hotels zonder ster,29
Polen,Hotels met 1 ster,11
Polen,Hotels met 2 sterren,12
Polen,Hotels met 3 sterren,53
Polen,Hotels met 4 sterren,67
Polen,Hotels met 5 sterren,4
Griekenland,Hotels zonder ster,10
Griekenland,Hotels met 1 ster,3
Griekenland,Hotels met 2 sterren,6
Griekenland,Hotels met 3 sterren,20
Griekenland,Hotels met 4 sterren,33
Griekenland,Hotels met 5 sterren,5
Duitsland,Hotels zonder ster,492
Duitsland,Hotels met 1 ster,63
Duitsland,Hotels met 2 sterren,196
Duitsland,Hotels met 3 sterren,1077
Duitsland,Hotels met 4 sterren,1385
Duitsland,Hotels met 5 sterren,100
Ierland,Hotels zonder ster,31
Ierland,Hotels met 1 ster,9
Ierland,Hotels met 2 sterren,12
Ierland,Hotels met 3 sterren,29
Ierland,Hotels met 4 sterren,74
Ierland,Hotels met 5 sterren,11
Oostenrijk,Hotels zonder ster,18
Oostenrijk,Hotels met 1 ster,4
Oostenrijk,Hotels met 2 sterren,9
Oostenrijk,Hotels met 3 sterren,45
Oostenrijk,Hotels met 4 sterren,68
Oostenrijk,Hotels met 5 sterren,8
Frankrijk,Hotels zonder ster,204
Frankrijk,Hotels met 1 ster,33
Frankrijk,Hotels met 2 sterren,79
Frankrijk,Hotels met 3 sterren,256
Frankrijk,Hotels met 4 sterren,401
Frankrijk,Hotels met 5 sterren,53
Nederland,Hotels zonder ster,1853
Nederland,Hotels met 1 ster,272
Nederland,Hotels met 2 sterren,763
Nederland,Hotels met 3 sterren,5702
Nederland,Hotels met 4 sterren,9741
Nederland,Hotels met 5 sterren,377
Rusland,Hotels zonder ster,26
Rusland,Hotels met 1 ster,9
Rusland,Hotels met 2 sterren,23
Rusland,Hotels met 3 sterren,101
Rusland,Hotels met 4 sterren,128
Rusland,Hotels met 5 sterren,35
VerenigdKoninkrijk,Hotels zonder ster,449
VerenigdKoninkrijk,Hotels met 1 ster,54
VerenigdKoninkrijk,Hotels met 2 sterren,155
VerenigdKoninkrijk,Hotels met 3 sterren,665
VerenigdKoninkrijk,Hotels met 4 sterren,1315
VerenigdKoninkrijk,Hotels met 5 sterren,200
Denemarken,Hotels zonder ster,32
Denemarken,Hotels met 1 ster,5
Denemarken,Hotels met 2 sterren,16
Denemarken,Hotels met 3 sterren,52
Denemarken,Hotels met 4 sterren,116
Denemarken,Hotels met 5 sterren,10
Europa, Hotels zonder ster,254
Europa, Hotels met 1 ster,38
Europa, Hotels met 2 sterren,105
Europa, Hotels met 3 sterren,633
Europa, Hotels met 4 sterren,1065
Europa, Hotels met 5 sterren,38
